Jacinta, echó,echar
Jacinta, quitaba,quitar
Jacinta, entregaba,entregar
Jacinta, reía,reir
Jacinta, reía,reir
Jacinta, sofocó,sofocar
Jacinta, Estaba,estar
Jacinta, poner,poner
Jacinta, preguntaba,preguntar
Jacinta, vio,ver
Jacinta, decía,decir
Jacinta, dejó,dejar
Jacinta, díjole,dijo él
Jacinta, mojaba,mojar
Jacinta, agitaba,agitar
Jacinta, estrechó,estrechar
Jacinta, reveló,revelar
Jacinta, daré--manifestó,daré--manifestar
Jacinta, soltó,soltar
Jacinta, eclipsaba,eclipsar
Jacinta, puso,poner
Jacinta, Durmió,dormir
Jacinta, vio,ver
Jacinta, besó,besar
Jacinta, gritó,gritar
Jacinta, exploró,explorar
Jacinta, disponía,disponer
Jacinta, echó,echar
Jacinta, deseaba,desear
Jacinta, tenía,tener
Jacinta, --indicó,--indicó
Juanito, retiró,retirar
Jacinta, hablar,hablar
Jacinta, Cuenta,contar
Juanito, vieron,ver
Jacinta, quiso,querer
Jacinta, echado,echar
Jacinta, no--gritó,no--gritar
Jacinta, acostumbrado,acostumbrado
Jacinta, callaba,callar
Fortunata, decía,decir
Fortunata, inspiraba,inspirar
Jacinta, tenía,tener
Jacinta, contemplaba,contemplar
Jacinta, sonreía,sonreir
Jacinta, deseaba,desear
Jacinta, sabía,saber
Jacinta, hiciera,hacer
Jacinta, ver,ver
Jacinta, tenía,tener
Jacinta, corrió,correr
Jacinta, regañó,regañar
Jacinta, Volvió,volver
Jacinta, rogaron,rogar
Jacinta, oír,oír
Jacinta, oyó,oir
Jacinta, reía,reir
Jacinta, Iba,ir
Jacinta, tragaba,tragar
Jacinta, estaba,estar
Jacinta, Pasaba,pasar
Jacinta, ver,ver
Jacinta, notaba,notar
Jacinta, ponía,poner
Jacinta, entró,entrar
Jacinta, volvió,volver
Jacinta, Entró,entrar
Juanito, Estaba,estar
Jacinta, _,_
Jacinta, llega,llegar
Jacinta, creyó,creer
Jacinta, entra,entrar
Jacinta, aparecieron,aparecer
Jacinta, echando,echar
Jacinta, mete,meter
Jacinta, sé,saber
Jacinta, abre,abrir
Jacinta, talonario!--chillaba,talonario!--chillar
Jacinta, preguntó,preguntar
Jacinta, creyó,creer
Fortunata, miraba,mirar
Fortunata, parecía,parecer
Fortunata, oyó,oir
Fortunata, vaciló,vacilar
Fortunata, quedándose,quedar él
Jacinta, aparecía,aparecer
Fortunata, agachó,agachar
Jacinta, acobardaron,acobardar
Mauricia, ven,ver
Maxi, marchado,marchado
Fortunata, examina,examinar
Fortunata, sigue,seguir
Fortunata, mira,mirar
Juanito, viene,venir
Fortunata, mira,mirar
Fortunata, ve,ver
Maxi, hizo,hacer
Fortunata, Sentía,sentir
Fortunata, saliese,salir
Fortunata, vio,ver
Fortunata, metió,meter
Fortunata, inclinaba,inclinar
Fortunata, venido,venir
Maxi, ocupó,ocupar
